Dataset,Classifier,MCC,MCC_std,Sensitivity,Specificity,F1,AUC
child,Random Forest,0.6802290352987057,0.07892906623837824,0.8588669950738916,0.8150537634408602,0.834882532674181,0.8940330525981249
child,SVM,0.6570022289258539,0.1031262751316526,0.8591133004926108,0.7886021505376345,0.8237679921805178,0.9019650140367604
child,Logistic Regression,0.6391816347234072,0.05848293620661369,0.787192118226601,0.835483870967742,0.7953746253746253,0.9051656602574291
child,LightGBM,0.6661682865847977,0.10025993593079359,0.8379310344827587,0.8219354838709678,0.8248713579617419,0.8996093543090206
child,CatBoost,0.6932170997382576,0.07948325035339482,0.8588669950738916,0.8286021505376345,0.8406993291436151,0.9042106308596853
child,TabNet-like (MLP),0.6397505500594225,0.10025047443346902,0.8374384236453201,0.795483870967742,0.8146777524569149,0.8987402669632927
adolescent,Random Forest,0.8063498875719703,0.08714381099283995,0.9525641025641025,0.825,0.9238226698616504,0.9865384615384615
adolescent,SVM,0.8174139157151327,0.07950892957670438,0.9038461538461539,0.9,0.9171322751322751,0.982905982905983
adolescent,Logistic Regression,0.7978146686362894,0.12745897613011528,0.8871794871794872,0.9027777777777779,0.9054285714285715,0.9868233618233617
adolescent,LightGBM,0.8330573480072448,0.10571523703512387,0.9192307692307693,0.9,0.9257354497354496,0.978988603988604
adolescent,CatBoost,0.7462610454222853,0.1012022133289272,0.9538461538461538,0.7555555555555555,0.9024143264143264,0.9884615384615385
adolescent,TabNet-like (MLP),0.7785443285914007,0.07997515138899432,0.8717948717948719,0.9,0.8972307692307693,0.9829772079772081
adult,Random Forest,0.5443545412329802,0.04283709340926032,0.5869132290184922,0.916504854368932,0.644151688202321,0.8415846096479719
adult,SVM,0.5678575029233134,0.03716390747345087,0.6614509246088194,0.8932038834951456,0.6751513100957472,0.7976294383294894
adult,Logistic Regression,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.7038936266027698,0.8278549627808698
adult,LightGBM,0.5734496758356039,0.03648674642286318,0.6136557610241822,0.9184466019417477,0.6681174089068825,0.8513720670082447
adult,CatBoost,0.6086034510033557,0.04366601606960578,0.6291607396870555,0.9339805825242719,0.6928978878399028,0.8601769117098703
adult,TabNet-like (MLP),0.5632977825001306,0.040350989026581574,0.6189189189189189,0.9126213592233011,0.6642397741526981,0.8119591487246061
