VIF_Threshold,Dataset,Original,After_ChiSq,After_VIF,Final,MCC,Sensitivity,Specificity,F1,AUC
8,child,20,12,5,3,0.7029618251063569,0.8795566502463055,0.8154838709677419,0.8471774420328757,0.8798360612320568
8,adolescent,20,9,7,5,0.7417128967297946,0.903846153846154,0.8277777777777778,0.8968580984233159,0.9449964387464389
8,adult,20,15,5,2,0.5932624586014026,0.7246088193456615,0.8776699029126214,0.7038936266027698,0.8109074838763137
9,child,20,12,5,3,0.7029618251063569,0.8795566502463055,0.8154838709677419,0.8471774420328757,0.8798360612320568
9,adolescent,20,9,8,3,0.6264162627702785,0.8551282051282051,0.7583333333333333,0.8484128642749333,0.8100783475783476
9,adult,20,15,5,1,0.5932624586014026,0.7246088193456615,0.8776699029126214,0.7038936266027698,0.8011393611291414
10,child,20,12,5,3,0.7029618251063569,0.8795566502463055,0.8154838709677419,0.8471774420328757,0.8798360612320568
10,adolescent,20,9,8,5,0.6429210587499505,0.841025641025641,0.8055555555555556,0.8543166109253066,0.9181623931623932
10,adult,20,15,5,1,0.5932624586014026,0.7246088193456615,0.8776699029126214,0.7038936266027698,0.8011393611291414
11,child,20,12,5,4,0.6814084313717911,0.8938423645320197,0.775483870967742,0.8387643747830124,0.8768813231633033
11,adolescent,20,9,8,4,0.533282839591983,0.8564102564102566,0.6583333333333333,0.8228530728530729,0.8546830484330485
11,adult,20,15,5,1,0.5932624586014026,0.7246088193456615,0.8776699029126214,0.7038936266027698,0.8011393611291414
12,child,20,12,5,3,0.4408026295328943,0.751231527093596,0.6759139784946236,0.7089446521454477,0.8025701838021082
12,adolescent,20,9,8,5,0.7417128967297946,0.903846153846154,0.8277777777777778,0.8968580984233159,0.9449964387464389
12,adult,20,15,5,1,0.5932624586014026,0.7246088193456615,0.8776699029126214,0.7038936266027698,0.8011393611291414
